Date,AAPL,MSFT,WMT,NKE,MCD,DIS
2017-10-04,148.0865,71.7916,75.3257,50.7899,148.8265,97.005
2017-10-05,149.9294,73.022,75.6305,50.8874,150.3317,96.5805
2017-10-06,149.8425,73.0508,75.24,51.1214,151.0891,96.5419
2017-10-09,150.3635,73.3296,76.6972,50.2437,151.5814,96.0596
2017-10-10,150.4214,73.3296,80.1259,50.2535,152.0168,96.0692
2017-10-11,151.0486,73.4545,81.6497,49.7659,154.4497,95.0755
2017-10-12,150.518,74.1273,82.0021,49.5708,155.1693,93.5126
2017-10-13,151.4732,74.483,82.4974,49.7171,156.5514,93.9468
2017-10-16,154.2616,74.6368,81.6592,50.0975,156.2106,94.6703
2017-10-17,154.8309,74.5791,81.8878,50.7119,156.5798,94.8922
2017-10-18,154.1458,74.5983,82.1164,51.0044,156.9301,94.7861
2017-10-19,150.4986,74.8867,82.2878,51.3848,157.6211,95.5193
2017-10-20,150.7591,75.7518,83.2783,51.7456,157.4318,95.8956
2017-10-23,150.682,75.771,84.4307,52.3307,154.6296,95.2202
2017-10-24,151.5793,75.7998,83.7926,52.0967,155.1409,94.8247
2017-10-25,150.9135,75.5788,84.2688,53.579,154.8569,94.352
2017-10-26,151.8784,75.7037,84.4022,55.4027,155.2639,95.0852
2017-10-27,157.3202,80.5577,83.9736,54.5737,156.5703,94.844
2017-10-30,160.8612,80.6346,82.8117,53.9008,157.3655,94.5835
2017-10-31,163.0997,79.9522,83.1545,53.6278,158.0092,94.3616
2017-11-01,161.0253,79.9522,83.7545,53.7058,157.498,95.5386
2017-11-02,162.2024,80.7884,84.5736,53.7546,159.1358,94.8826
2017-11-03,166.4381,80.8749,85.4117,54.3299,159.6565,95.1624
2017-11-06,168.1266,81.1921,84.4784,54.6518,161.0008,97.0919
2017-11-07,168.6669,80.9999,84.7165,53.7838,161.6634,98.0277
2017-11-08,170.0467,81.2786,85.9641,54.3787,161.0292,97.6128
2017-11-09,169.6994,80.8269,86.0022,54.7395,158.0945,99.0599
2017-11-10,169.1377,80.6154,86.5927,54.7005,156.7596,101.0859
2017-11-13,168.4599,80.6731,86.6594,54.525,158.4447,101.0473
2017-11-14,165.9131,80.7884,86.7546,54.5933,159.1452,99.5327
2017-11-15,163.7247,80.1605,85.5546,55.2272,158.3974,100.0343
2017-11-16,165.6808,80.373,94.8786,55.8123,159.1263,99.9475
2017-11-17,164.7608,79.6002,92.831,57.7237,157.8294,99.7931
2017-11-20,164.5963,79.7258,92.8405,57.7823,158.0282,99.1275
